Dec. 11, 2018   21:01:33
Linear Sweep Voltammetry
File: r:\group-shared\andy\760_data\181211\181211_lsv_afterbulke.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.39
Final E (V) = 2
Scan Rate (V/s) = 0.02
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.001


Potential/V, Current/A

0.639, 1.138e-3
0.640, 1.141e-3
0.641, 1.146e-3
0.642, 1.146e-3
0.643, 1.146e-3
0.644, 1.150e-3
0.645, 1.152e-3
0.646, 1.151e-3
0.647, 1.155e-3
0.648, 1.157e-3
0.649, 1.157e-3
0.650, 1.159e-3
0.651, 1.163e-3
0.652, 1.164e-3
0.653, 1.166e-3
0.654, 1.169e-3
0.655, 1.170e-3
0.656, 1.168e-3
0.657, 1.171e-3
0.658, 1.173e-3
0.659, 1.174e-3
0.660, 1.178e-3
0.661, 1.182e-3
0.662, 1.181e-3
0.663, 1.182e-3
0.664, 1.184e-3
0.665, 1.185e-3
0.666, 1.184e-3
0.667, 1.188e-3
0.668, 1.192e-3
0.669, 1.191e-3
0.670, 1.193e-3
0.671, 1.195e-3
0.672, 1.194e-3
0.673, 1.194e-3
0.674, 1.198e-3
0.675, 1.198e-3
0.676, 1.198e-3
0.677, 1.200e-3
0.678, 1.204e-3
0.679, 1.204e-3
0.680, 1.206e-3
0.681, 1.208e-3
0.682, 1.208e-3
0.683, 1.211e-3
0.684, 1.215e-3
0.685, 1.217e-3
0.686, 1.217e-3
0.687, 1.219e-3
0.688, 1.221e-3
0.689, 1.221e-3
0.690, 1.222e-3
0.691, 1.224e-3
0.692, 1.221e-3
0.693, 1.221e-3
0.694, 1.226e-3
0.695, 1.229e-3
0.696, 1.230e-3
0.697, 1.230e-3
0.698, 1.229e-3
0.699, 1.227e-3
0.700, 1.229e-3
0.701, 1.232e-3
0.702, 1.234e-3
0.703, 1.234e-3
0.704, 1.236e-3
0.705, 1.237e-3
0.706, 1.237e-3
0.707, 1.239e-3
0.708, 1.241e-3
0.709, 1.243e-3
0.710, 1.242e-3
0.711, 1.244e-3
0.712, 1.243e-3
0.713, 1.246e-3
0.714, 1.248e-3
0.715, 1.247e-3
0.716, 1.244e-3
0.717, 1.244e-3
0.718, 1.246e-3
0.719, 1.247e-3
0.720, 1.250e-3
0.721, 1.254e-3
0.722, 1.256e-3
0.723, 1.256e-3
0.724, 1.257e-3
0.725, 1.258e-3
0.726, 1.259e-3
0.727, 1.258e-3
0.728, 1.260e-3
0.729, 1.260e-3
0.730, 1.262e-3
0.731, 1.261e-3
0.732, 1.261e-3
0.733, 1.261e-3
0.734, 1.263e-3
0.735, 1.267e-3
0.736, 1.266e-3
0.737, 1.269e-3
0.738, 1.269e-3
0.739, 1.269e-3
0.740, 1.270e-3
0.741, 1.272e-3
0.742, 1.273e-3
0.743, 1.273e-3
0.744, 1.272e-3
0.745, 1.271e-3
0.746, 1.268e-3
0.747, 1.270e-3
0.748, 1.275e-3
0.749, 1.277e-3
0.750, 1.277e-3
0.751, 1.277e-3
0.752, 1.278e-3
0.753, 1.277e-3
0.754, 1.277e-3
0.755, 1.277e-3
0.756, 1.278e-3
0.757, 1.280e-3
0.758, 1.283e-3
0.759, 1.281e-3
0.760, 1.278e-3
0.761, 1.281e-3
0.762, 1.282e-3
0.763, 1.285e-3
0.764, 1.288e-3
0.765, 1.289e-3
0.766, 1.284e-3
0.767, 1.283e-3
0.768, 1.284e-3
0.769, 1.286e-3
0.770, 1.288e-3
0.771, 1.289e-3
0.772, 1.288e-3
0.773, 1.287e-3
0.774, 1.288e-3
0.775, 1.288e-3
0.776, 1.290e-3
0.777, 1.289e-3
0.778, 1.293e-3
0.779, 1.293e-3
0.780, 1.296e-3
0.781, 1.295e-3
0.782, 1.294e-3
0.783, 1.291e-3
0.784, 1.290e-3
0.785, 1.288e-3
0.786, 1.292e-3
0.787, 1.294e-3
0.788, 1.298e-3
0.789, 1.298e-3
0.790, 1.297e-3
0.791, 1.299e-3
0.792, 1.299e-3
0.793, 1.300e-3
0.794, 1.301e-3
0.795, 1.303e-3
0.796, 1.301e-3
0.797, 1.303e-3
0.798, 1.303e-3
0.799, 1.305e-3
0.800, 1.305e-3
0.801, 1.307e-3
0.802, 1.305e-3
0.803, 1.305e-3
0.804, 1.307e-3
0.805, 1.307e-3
0.806, 1.307e-3
0.807, 1.308e-3
0.808, 1.309e-3
0.809, 1.309e-3
0.810, 1.311e-3
0.811, 1.311e-3
0.812, 1.309e-3
0.813, 1.306e-3
0.814, 1.308e-3
0.815, 1.310e-3
0.816, 1.308e-3
0.817, 1.312e-3
0.818, 1.311e-3
0.819, 1.312e-3
0.820, 1.314e-3
0.821, 1.317e-3
0.822, 1.315e-3
0.823, 1.314e-3
0.824, 1.313e-3
0.825, 1.317e-3
0.826, 1.313e-3
0.827, 1.316e-3
0.828, 1.319e-3
0.829, 1.318e-3
0.830, 1.321e-3
0.831, 1.323e-3
0.832, 1.323e-3
0.833, 1.319e-3
0.834, 1.320e-3
0.835, 1.321e-3
0.836, 1.321e-3
0.837, 1.320e-3
0.838, 1.322e-3
0.839, 1.322e-3
0.840, 1.323e-3
0.841, 1.323e-3
0.842, 1.321e-3
0.843, 1.322e-3
0.844, 1.325e-3
0.845, 1.329e-3
0.846, 1.328e-3
0.847, 1.328e-3
0.848, 1.329e-3
0.849, 1.327e-3
0.850, 1.327e-3
0.851, 1.328e-3
0.852, 1.329e-3
0.853, 1.329e-3
0.854, 1.331e-3
0.855, 1.331e-3
0.856, 1.330e-3
0.857, 1.329e-3
0.858, 1.331e-3
0.859, 1.329e-3
0.860, 1.329e-3
0.861, 1.332e-3
0.862, 1.333e-3
0.863, 1.332e-3
0.864, 1.330e-3
0.865, 1.332e-3
0.866, 1.330e-3
0.867, 1.331e-3
0.868, 1.332e-3
0.869, 1.334e-3
0.870, 1.332e-3
0.871, 1.331e-3
0.872, 1.332e-3
0.873, 1.335e-3
0.874, 1.335e-3
0.875, 1.338e-3
0.876, 1.337e-3
0.877, 1.336e-3
0.878, 1.338e-3
0.879, 1.337e-3
0.880, 1.337e-3
0.881, 1.338e-3
0.882, 1.342e-3
0.883, 1.342e-3
0.884, 1.343e-3
0.885, 1.342e-3
0.886, 1.340e-3
0.887, 1.340e-3
0.888, 1.342e-3
0.889, 1.347e-3
0.890, 1.346e-3
0.891, 1.346e-3
0.892, 1.345e-3
0.893, 1.344e-3
0.894, 1.343e-3
0.895, 1.344e-3
0.896, 1.343e-3
0.897, 1.342e-3
0.898, 1.344e-3
0.899, 1.343e-3
0.900, 1.341e-3
0.901, 1.341e-3
0.902, 1.345e-3
0.903, 1.346e-3
0.904, 1.347e-3
0.905, 1.347e-3
0.906, 1.347e-3
0.907, 1.348e-3
0.908, 1.353e-3
0.909, 1.356e-3
0.910, 1.353e-3
0.911, 1.351e-3
0.912, 1.347e-3
0.913, 1.348e-3
0.914, 1.349e-3
0.915, 1.352e-3
0.916, 1.349e-3
0.917, 1.349e-3
0.918, 1.350e-3
0.919, 1.351e-3
0.920, 1.350e-3
0.921, 1.351e-3
0.922, 1.353e-3
0.923, 1.351e-3
0.924, 1.353e-3
0.925, 1.350e-3
0.926, 1.352e-3
0.927, 1.352e-3
0.928, 1.353e-3
0.929, 1.353e-3
0.930, 1.353e-3
0.931, 1.353e-3
0.932, 1.355e-3
0.933, 1.357e-3
0.934, 1.357e-3
0.935, 1.357e-3
0.936, 1.355e-3
0.937, 1.356e-3
0.938, 1.356e-3
0.939, 1.359e-3
0.940, 1.360e-3
0.941, 1.360e-3
0.942, 1.361e-3
0.943, 1.358e-3
0.944, 1.356e-3
0.945, 1.357e-3
0.946, 1.361e-3
0.947, 1.363e-3
0.948, 1.366e-3
0.949, 1.362e-3
0.950, 1.362e-3
0.951, 1.361e-3
0.952, 1.361e-3
0.953, 1.359e-3
0.954, 1.360e-3
0.955, 1.362e-3
0.956, 1.362e-3
0.957, 1.360e-3
0.958, 1.358e-3
0.959, 1.359e-3
0.960, 1.358e-3
0.961, 1.361e-3
0.962, 1.365e-3
0.963, 1.366e-3
0.964, 1.363e-3
0.965, 1.364e-3
0.966, 1.362e-3
0.967, 1.363e-3
0.968, 1.369e-3
0.969, 1.372e-3
0.970, 1.370e-3
0.971, 1.365e-3
0.972, 1.366e-3
0.973, 1.366e-3
0.974, 1.369e-3
0.975, 1.369e-3
0.976, 1.368e-3
0.977, 1.367e-3
0.978, 1.369e-3
0.979, 1.370e-3
0.980, 1.367e-3
0.981, 1.366e-3
0.982, 1.367e-3
0.983, 1.369e-3
0.984, 1.369e-3
0.985, 1.373e-3
0.986, 1.373e-3
0.987, 1.373e-3
0.988, 1.373e-3
0.989, 1.376e-3
0.990, 1.374e-3
0.991, 1.372e-3
0.992, 1.370e-3
0.993, 1.369e-3
0.994, 1.372e-3
0.995, 1.372e-3
0.996, 1.375e-3
0.997, 1.373e-3
0.998, 1.373e-3
0.999, 1.372e-3
1.000, 1.372e-3
1.001, 1.370e-3
1.002, 1.372e-3
1.003, 1.372e-3
1.004, 1.372e-3
1.005, 1.373e-3
1.006, 1.372e-3
1.007, 1.371e-3
1.008, 1.371e-3
1.009, 1.375e-3
1.010, 1.376e-3
1.011, 1.376e-3
1.012, 1.376e-3
1.013, 1.377e-3
1.014, 1.374e-3
1.015, 1.377e-3
1.016, 1.379e-3
1.017, 1.380e-3
1.018, 1.383e-3
1.019, 1.384e-3
1.020, 1.383e-3
1.021, 1.377e-3
1.022, 1.378e-3
1.023, 1.379e-3
1.024, 1.381e-3
1.025, 1.382e-3
1.026, 1.384e-3
1.027, 1.380e-3
1.028, 1.380e-3
1.029, 1.382e-3
1.030, 1.381e-3
1.031, 1.381e-3
1.032, 1.381e-3
1.033, 1.383e-3
1.034, 1.382e-3
1.035, 1.384e-3
1.036, 1.391e-3
1.037, 1.391e-3
1.038, 1.386e-3
1.039, 1.386e-3
1.040, 1.383e-3
1.041, 1.383e-3
1.042, 1.384e-3
1.043, 1.387e-3
1.044, 1.389e-3
1.045, 1.386e-3
1.046, 1.386e-3
1.047, 1.385e-3
1.048, 1.385e-3
1.049, 1.387e-3
1.050, 1.388e-3
1.051, 1.386e-3
1.052, 1.386e-3
1.053, 1.382e-3
1.054, 1.381e-3
1.055, 1.383e-3
1.056, 1.386e-3
1.057, 1.386e-3
1.058, 1.384e-3
1.059, 1.384e-3
1.060, 1.385e-3
1.061, 1.386e-3
1.062, 1.386e-3
1.063, 1.387e-3
1.064, 1.385e-3
1.065, 1.388e-3
1.066, 1.387e-3
1.067, 1.389e-3
1.068, 1.390e-3
1.069, 1.391e-3
1.070, 1.388e-3
1.071, 1.388e-3
1.072, 1.388e-3
1.073, 1.388e-3
1.074, 1.386e-3
1.075, 1.389e-3
